"","parameter_group","counts","procedure","GroupingTerm","lnCVR","lnCVR_lower","lnCVR_upper","lnCVR_se","lnVR","lnVR_lower","lnVR_upper","lnVR_se","lnRR","lnRR_lower","lnRR_upper","lnRR_se"
"72","hr",1,"Electrocardiogram (ECG)","Heart",-0.0634490462075373,-0.173469914175039,0.0465718217599643,0.0561341273795499,-0.0140315395352771,-0.148847406663872,0.120784327593317,0.0687848696159751,0.0406617206901026,-0.0139213882374055,0.0952448296176107,0.0278490366955989
"73","hrv",1,"Electrocardiogram (ECG)","Heart",0.172259305270563,0.109429400682503,0.235089209858622,0.03205666281812,-0.0813225453002969,-0.212546234289244,0.04990114368865,0.0669520919894563,-0.250499044746051,-0.365743577650144,-0.135254511841958,0.0587993115246643
"74","initial response to glucose challenge",1,"Intraperitoneal glucose tolerance test (IPGTT)","Metabolism",-0.0968820902801186,-0.150378030938351,-0.0433861496218866,0.0272943488146727,0.0429971430726185,0.0141806502095847,0.0718136359356522,0.0147025624400931,0.118362579982768,0.0853242352997882,0.151400924665749,0.0168566080517716
"75","insulin",1,"Insulin Blood Level","Metabolism",-0.0993292073131335,-0.372197498177627,0.17353908355136,0.139221073967095,0.177400250301758,-0.193809085149974,0.54860958575349,0.189395998283532,0.444545503799892,0.0944497628814578,0.794641244718327,0.178623558228592
"76","iron",1,"Clinical Chemistry","Physiology",-0.0974213617706404,-0.214173692555033,0.0193309690137525,0.0595686102935158,-0.253489772048537,-0.396364839476455,-0.110614704620619,0.072896782060741,-0.152797685027166,-0.193030720201718,-0.112564649852614,0.0205274359589793
"77","lactate dehydrogenase",1,"Clinical Chemistry","Physiology",0.0941248647913682,-0.021402176371077,0.209651905953813,0.058943451039768,0.140926960047427,-0.0620594087141801,0.343913328809034,0.103566376914442,0.0318800617585256,-0.141221762902853,0.204981886419905,0.0883188803604475
"78","latency to center entry",1,"Open Field","Behaviour",0.125423904248706,0.0330184792148361,0.217829329282577,0.0471464913451229,0.364122072128733,0.205600024385081,0.522644119872385,0.0808800819780637,0.273451883045519,0.0739365893535882,0.472967176737449,0.101795387703897
"79","ldl-cholesterol",1,"Clinical Chemistry","Physiology",0.423164408001251,0.1551775681704,0.691151247832102,0.136730491960412,0.266928335907606,-0.0956832843408902,0.629539956156101,0.185009328288035,-0.16154988548245,-0.601047805982879,0.277948035017979,0.224237753329721
"80","lean mass",1,"Body Composition (DEXA lean/fat)","Morphology",0.143575615064823,0.0759342369562807,0.211216993173366,0.0345115413559072,0.338244686145899,0.266486295078125,0.410003077213672,0.03661209677004,0.192894507101764,0.175242516505762,0.210546497697765,0.00900628314358731
"81","lean/body weight",1,"Body Composition (DEXA lean/fat)","Morphology",0.195383284158151,0.0912479860091654,0.299518582307137,0.0531312304564736,0.184078565883634,0.0863764116118194,0.281780720155448,0.0498489538800081,-0.0122785157064114,-0.0257504329232566,0.00119340151043368,0.00687355345460931
"82","left anterior chamber depth",1,"Eye Morphology","Eye",-0.185485591487958,-0.430505843260967,0.0595346602850501,0.125012629673656,-0.153498348515742,-0.400728333603627,0.0937316365721417,0.12614006534712,0.0331746294796231,0.0284171970230046,0.0379320619362416,0.00242730605977686
"83","left corneal thickness",1,"Eye Morphology","Eye",-0.144663419654305,-0.233994954215325,-0.0553318850932847,0.0455781510607623,-0.135225246933927,-0.223417775843999,-0.0470327180238558,0.044997015050135,0.00752828283278676,-0.00570824454553234,0.0207648102111059,0.00675345439137002
"84","left inner nuclear layer",1,"Eye Morphology","Eye",0.0480458186975741,-0.0360705879021262,0.132162225297274,0.0429173225953129,0.0487217210835575,-0.0347622325605619,0.132205674727677,0.0425946365865037,0.00069557547263925,-0.00950115027189205,0.0108923012171706,0.00520250669142993
"85","left outer nuclear layer",1,"Eye Morphology","Eye",-0.0675012171714271,-0.151166557244968,0.016164122902114,0.0426871823836982,-0.0618025475484382,-0.145286501192558,0.0216814060956812,0.0425946365865037,0.00638113344705945,0.00117015358086355,0.0115921133132554,0.00265871205149658
"86","left posterior chamber depth",1,"Eye Morphology","Eye",-0.263104583158926,-0.473475592661916,-0.0527335736559367,0.10733411999525,-0.268736034627381,-0.479003464287714,-0.0584686049670482,0.10728127216566,-0.00260271213037517,-0.0146654601006028,0.00946003583985243,0.00615457634190067
"87","left total retinal thickness",1,"Eye Morphology","Eye",-0.197576978658041,-0.438662657014148,0.0435086996980656,0.123005157369094,-0.193264759521927,-0.426975148027197,0.0404456289833421,0.119242185238477,0.00279954126411978,-0.0034906865572091,0.00908976908544866,0.00320935888156384
"88","locomotor activity",1,"Combined SHIRPA and Dysmorphology","Behaviour",0.0960105614991172,0.0224214241149668,0.169599698883268,0.0375461681768707,-0.0159064242883493,-0.0579694125331061,0.0261565639564075,0.0214611026409385,-0.11058026090606,-0.176104341353817,-0.0450561804583037,0.033431267597059
"89","lvawd",1,"Echo","Heart",0.0228924071655328,-0.0247048260466978,0.0704896403777635,0.0242847488972611,0.0454075203363132,-0.00132488699235938,0.0921399276649857,0.0238435030935731,0.0246613592698746,0.0114095055407916,0.0379132129989576,0.00676127410177531
"90","lvaws",1,"Echo","Heart",-0.0017748927176643,-0.25175805085004,0.248208265414711,0.127544771283662,0.0232600878422665,-0.177661724058982,0.224181899743515,0.102513012221701,0.0112568987966415,-0.0306073066794359,0.053121104272719,0.0213596809973535
"91","lvidd",1,"Echo","Heart",0.0453256492148753,-0.024189157537,0.114840455966751,0.0354673898603236,0.0981450075155018,0.0208146011314474,0.175475413899556,0.0394550139665967,0.0528052500040249,0.0378668657477809,0.067743634260269,0.00762176467224709
"92","lvids",1,"Echo","Heart",-0.0635228240273158,-0.199094725959683,0.0720490779050515,0.0691706087467633,0.00833519379125269,-0.133589419318135,0.15025980690064,0.0724118474772348,0.0756176645872806,0.052577744243476,0.0986575849310851,0.0117552774058812
"93","lvpwd",1,"Echo","Heart",-0.0317375501871094,-0.12580619363161,0.0623310932573916,0.0479950877600315,-0.0104247775503855,-0.127192152896444,0.106342597795673,0.0595762862313313,0.0302673940209863,0.0131900226328791,0.0473447654090935,0.00871310469111238
"94","lvpws",1,"Echo","Heart",-0.019052157306186,-0.101467049542285,0.0633627349299129,0.0420491870698529,0.00895915287400176,-0.0823356458608543,0.100253951608858,0.0465798348617514,0.0268487265085063,0.00631460692087897,0.0473828460961336,0.0104767841397076
"95","magnesium",1,"Urinalysis","Physiology",0.0161698565108564,-0.0231195618683748,0.0554592748900876,0.0200459899718266,-0.0513055817429568,-0.11670206082877,0.014090897342856,0.0333661636650734,-0.0413354482869802,-0.113557982797806,0.0308870862238453,0.0368489090006284
"96","mean cell hemoglobin concentration",1,"Hematology","Hematology",0.0378014746773772,-0.088063686103926,0.16366663545868,0.0642180987886061,0.0253062931382205,-0.108607631080336,0.159220217356777,0.0683246862058959,-0.0113450395263266,-0.0150701907272264,-0.00761988832542691,0.00190062227177808
"97","mean cell volume",1,"Hematology","Hematology",0.00391751168410221,-0.095749498031284,0.103584521399488,0.0508514495682303,-0.00304471760742554,-0.0961742266430247,0.0900847914281736,0.0475159287467489,-0.00635017687587594,-0.009964902519237,-0.00273545123251488,0.00184428166633344
"98","mean corpuscular hemoglobin",1,"Hematology","Hematology",-0.00258333344055764,-0.0653064610414877,0.0601397941603724,0.0320021837623967,-0.0193464632197468,-0.0824669902355562,0.0437740637960626,0.0322049422916421,-0.0169767526914952,-0.0197230504679931,-0.0142304549149974,0.00140119808229145
"99","mean platelet volume",1,"Hematology","Hematology",0.048736594806723,-0.00446875919982925,0.101941948813275,0.027146087594583,0.0353913443003183,-0.0210322849680784,0.0918149735687149,0.0287880949412637,-0.0174066172337137,-0.0276043770404878,-0.00720885742693964,0.0052030342839015
"100","mean r amplitude",1,"Electrocardiogram (ECG)","Heart",0.00847033609971542,-0.028209183376019,0.0451498555754498,0.0187143844300496,-0.0948208483447254,-0.163049534339028,-0.0265921623504224,0.03481119374258,-0.0835612308489133,-0.150310834438904,-0.0168116272589222,0.0340565459959996
"101","mean sr amplitude",1,"Electrocardiogram (ECG)","Heart",0.0284617452087829,-0.0131943185190886,0.0701178089366544,0.021253484276471,-0.0876810954018073,-0.127077691869795,-0.0482844989338195,0.0201006736749977,-0.113025893230951,-0.155804780652348,-0.0702470058095541,0.0218263640346616
"102","number of center entries",1,"Open Field","Behaviour",0.0150703353636304,-0.0534906610011097,0.0836313317283705,0.0349807429654527,-0.0361258778204735,-0.0952472230916889,0.0229954674507418,0.0301645059488628,-0.058809239196237,-0.167990731123385,0.0503722527309108,0.0557058664283413
"103","number of rears - total",1,"Open Field","Behaviour",-0.00113261607403809,-0.114111305471101,0.111846073323025,0.0576432476760921,0.186949016644197,-0.0392421936406507,0.413140226929044,0.115405799325403,0.179432794956193,0.0568682042036974,0.301997385708689,0.0625341035443863
"104","others",1,"Immunophenotyping","Immunology",-0.168490229377167,-0.259664817358937,-0.0773156413953976,0.0465185017178597,-0.151519506929324,-0.243595639916116,-0.0594433739425331,0.046978482111445,0.0196158302621082,0.00493491665125356,0.0342967438729629,0.00749039968420635
"105","pdcs",1,"Immunophenotyping","Immunology",-0.173255336007237,-0.400384513441652,0.0538738414271779,0.115884362787266,-0.257249071938672,-0.718620064847224,0.20412192096988,0.235397689216632,-0.0915619278908867,-0.252223584621018,0.069099728839245,0.0819717392755226
"106","percentage center time",1,"Open Field","Behaviour",-0.0219678957038687,-0.086318380984007,0.0423825895762695,0.0328324835495584,-0.018890708482824,-0.091208821924298,0.05342740495865,0.0368976746572438,-0.00618018002457886,-0.0972541550061014,0.0848937949569437,0.0464671676111921
"107","periphery average speed",1,"Open Field","Behaviour",-0.0444271701330571,-0.108287043169721,0.0194327029036064,0.0325821665808056,-0.140130372385316,-0.211770913912335,-0.0684898308582966,0.0365519683484546,-0.0963838101330539,-0.144604318594816,-0.0481633016712916,0.0246027523169403
"108","periphery distance travelled",1,"Open Field","Behaviour",-0.0313217321753281,-0.0918313864695391,0.0291879221188829,0.0308728398947651,-0.134223636526027,-0.187409663524571,-0.0810376095274829,0.0271362266950151,-0.103723945883209,-0.171483631021467,-0.0359642607449507,0.0345719031945168
"109","periphery permanence time",1,"Open Field","Behaviour",-0.0369177471088875,-0.127707608700763,0.0538721144829879,0.0463222091365016,-0.0294978014180216,-0.100634612201908,0.0416390093658651,0.0362949581446418,0.00770384217380731,-0.0137850430226113,0.029192727370226,0.0109639184015218
"110","periphery resting time",1,"Open Field","Behaviour",-0.0536345676830341,-0.126604454435967,0.0193353190698984,0.0372302181716142,-0.0572459306276016,-0.107151498404122,-0.00734036285108105,0.0254624922550462,0.00260068166789768,-0.0558537993386995,0.0610551626744949,0.0298242628271125
"111","phosphorus",1,"Clinical Chemistry","Physiology",-0.0485897063619626,-0.0839100678137205,-0.0132693449102047,0.0180209237161297,-0.0826120025083921,-0.157647345630901,-0.00757665938588292,0.038284041806063,-0.0420616374956975,-0.0813582345403133,-0.00276504045108172,0.0200496526235086
"112","platelet count",1,"Hematology","Hematology",0.0737198300865306,0.0205862427739712,0.12685341739909,0.0271094712615489,0.241513486112795,0.186532954559528,0.296494017666062,0.0280518070673472,0.164219156332453,0.136982022101439,0.191456290563468,0.0138967524127268
"113","pnn5(6>ms)",1,"Electrocardiogram (ECG)","Heart",0.2906904749767,0.171620221290885,0.409760728662515,0.0607512457499352,-0.292601305846426,-0.527212101218549,-0.0579905104743031,0.119701584938653,-0.600476650918346,-0.924411325244585,-0.276541976592108,0.165275830005752
"114","potassium",1,"Clinical Chemistry","Physiology",-0.0705522230252726,-0.221498946837796,0.0803945007872509,0.0770150497678386,-0.00746753068112807,-0.172936570580463,0.158001509218207,0.0844245308610431,0.0704161671540123,0.0476647143823824,0.0931676199256423,0.0116080973686713
"115","pq",1,"Electrocardiogram (ECG)","Heart",-0.0650959805495105,-0.153877618796411,0.0236856576973898,0.0452975865613851,-0.0648321695739019,-0.127068839668687,-0.00259549947911707,0.0317539865965394,0.00156562076725688,-0.0259865253565348,0.0291177668910485,0.0140574757195129
"116","pr",1,"Electrocardiogram (ECG)","Heart",-0.0564859890837306,-0.104837112572812,-0.00813486559464969,0.0246693938615548,-0.075471827582535,-0.123522382518324,-0.0274212726467456,0.0245160397409371,-0.0183785336244607,-0.031988681685889,-0.00476838556303243,0.0069440806916777
"117","qrs",1,"Electrocardiogram (ECG)","Heart",0.0725453834217331,0.0354722402887954,0.109618526554671,0.0189152165169186,0.0681073509628203,0.0300868548649289,0.106127847060712,0.0193985687480955,-0.00542331015899814,-0.0154884540206509,0.00464183370265466,0.00513537184409784
"118","qtc",1,"Electrocardiogram (ECG)","Heart",0.0328106116345279,-0.0101031985004054,0.0757244217694613,0.0218952034187526,0.031047290462813,-0.020736468678455,0.0828310496040811,0.02642077076402,-0.000504597233590655,-0.00856956221649076,0.00756036774930945,0.00411485366390174
"119","qtc dispersion",1,"Electrocardiogram (ECG)","Heart",0.00312580704281891,-0.0523918949761574,0.0586435090617952,0.0283258786676147,-0.0046501186114942,-0.106053043475574,0.0967528062525857,0.0517371368371732,-0.00773728015116358,-0.0510161863561079,0.0355416260537807,0.0220814803467425
"120","red blood cell count",1,"Hematology","Hematology",0.0773455006418717,0.007193299421348,0.147497701862395,0.0357925970955973,0.0997278072892002,0.0316995949740468,0.167756019604354,0.0347089093737187,0.0228493103098868,0.00885826697937638,0.0368403536403973,0.00713841858364236
"121","red blood cell distribution width",1,"Hematology","Hematology",0.124846422920275,-0.00351479332583857,0.253207639166389,0.0654916198759829,0.135345998928636,-0.00358618124507359,0.274278179102346,0.0708850679245073,0.0104789409639174,-0.00320564219886468,0.0241635241266995,0.00698205848205597
"122","respiration rate",1,"Echo","Heart",-0.138484308116601,-0.217873598126794,-0.0590950181064087,0.0405054840988942,-0.0703570124943027,-0.179587486985686,0.038873461997081,0.0557308579917691,0.0611033658463837,0.0227141391566546,0.0994925925361127,0.0195867000580308
"123","respiratory exchange ratio",1,"Indirect Calorimetry","Metabolism",-0.0116564531776787,-0.0896489601057864,0.066336053750429,0.0397928265740099,-0.010652959766382,-0.0878482935209053,0.0665423739881412,0.0393860980933477,0.00170269040230902,-0.00573482693594132,0.00914020774055936,0.00379472143208576
"124","right anterior chamber depth",1,"Eye Morphology","Eye",-0.449143208521082,-1.32935463881621,0.431068221774044,0.44909571667547,-0.415737679189728,-1.29186202922592,0.46038667084646,0.447010433327829,0.0316098471035158,0.0264511896208534,0.0367685045861782,0.00263201646731941
"125","right corneal thickness",1,"Eye Morphology","Eye",-0.0355898244889395,-0.228052246598704,0.156872597620825,0.0981969177127149,-0.0306550004772646,-0.196369248548795,0.135059247594266,0.0845496393702454,-0.00138545911486867,-0.0237829981679058,0.0210120799381684,0.011427525826855
"126","right inner nuclear layer",1,"Eye Morphology","Eye",-0.254508331018532,-0.763311604216654,0.25429494217959,0.259598276912993,-0.278511351328925,-0.837313348454676,0.280290645796825,0.28510829868993,-0.0175089676796344,-0.0664157838925449,0.0313978485332761,0.0249529157671678
"127","right outer nuclear layer",1,"Eye Morphology","Eye",0.00612525182853211,-0.0781240931359567,0.0903745967930209,0.0429851495379695,0.0109097746940634,-0.0731426558261361,0.0949622052142629,0.0428846811386303,0.00555134389618509,5.1893907502697e-05,0.0110507938848675,0.00280589338990989
"128","right posterior chamber depth",1,"Eye Morphology","Eye",-0.0775673426413512,-0.290568813679775,0.135434128397073,0.108676216868551,-0.0764571104104063,-0.289315186426721,0.136400965605908,0.108603054798615,0.00719897811613172,-0.0178433618390284,0.0322413180712918,0.0127769388380046
"129","right total retinal thickness",1,"Eye Morphology","Eye",-0.198799319814403,-0.645731955596763,0.248133315967956,0.228031045114965,-0.192548241377012,-0.62857147735156,0.243474994597536,0.222464922526048,0.00528817256479226,-0.00459566991268856,0.0151720150422731,0.00504286943813422
"130","rmssd",1,"Electrocardiogram (ECG)","Heart",0.180027316354046,-0.0882317330706459,0.448286365778737,0.136869376958293,-0.0161048471741745,-0.411280891205146,0.379071196856797,0.201624135518851,-0.117870307183876,-0.244984259942603,0.00924364557485137,0.0648552492603873
"131","rp macrophage (cd19-  cd11c-)",1,"Immunophenotyping","Immunology",-0.0765770988542801,-0.339807480625697,0.186653282917137,0.134303683051191,-0.074769138995684,-0.33513161995489,0.185593341963521,0.132840441463676,-0.0746395637779829,-0.2072979577466,0.0580188301906342,0.0676840977768008
"132","rr",1,"Electrocardiogram (ECG)","Heart",-0.0761504533566739,-0.187668722046363,0.0353678153330149,0.0568981213784185,-0.0896868781771866,-0.206345819783031,0.0269720634286576,0.0595209618778891,-0.0125022606966084,-0.0214082491446217,-0.0035962722485951,0.0045439551533919
"133","sodium",1,"Clinical Chemistry","Physiology",0.0262099709123219,-0.117167375431254,0.169587317255897,0.0731530515226391,0.033822802520923,-0.133716189944503,0.201361794986349,0.0854806485154583,0.00996803938651798,0.00658153473725946,0.0133545440357765,0.0017278402439896
"134","spleen weight",1,"Immunophenotyping","Immunology",0.187425929742087,-0.0500874746919251,0.424939334176099,0.121182535142221,0.113370639793309,-0.160480727484303,0.387222007070921,0.139722652782254,-0.154234894224477,-0.210441478007612,-0.0980283104413418,0.0286773554139185
"135","st",1,"Electrocardiogram (ECG)","Heart",0.00328878016772789,-0.054451232869591,0.0610287932050467,0.029459731654645,-0.00549758370850668,-0.0811809657181397,0.0701857983011264,0.038614679966884,-0.00349019406818066,-0.0175916668369075,0.0106112787005462,0.00719476116906102
"136","stroke volume",1,"Echo","Heart",0.0594275844900749,-0.0782445295296711,0.197099698509821,0.0702421652161397,0.15743299750049,0.00918914330168166,0.305676851699298,0.0756360093186083,0.093737454230771,0.0775587382596955,0.109916170201846,0.00825459860420451
"137","tibia length",1,"Heart Weight","Morphology",-0.147540338522386,-0.439612675821157,0.144531998776385,0.149019236885269,-0.137440083071672,-0.426135219721581,0.151255053578236,0.147296143667485,0.00951991431000588,0.005919862448847,0.0131199661711648,0.00183679490518991
"138","total bilirubin",1,"Clinical Chemistry","Physiology",0.0605449195956144,-0.00976689613786608,0.130856735329095,0.0358740345680284,0.00226711637005724,-0.0859909545749058,0.0905251873150202,0.0450304554783309,-0.0550332785926617,-0.0979517931712643,-0.0121147640140591,0.02189760368922
"139","total cholesterol",1,"Clinical Chemistry","Physiology",0.0942594904487494,-0.0751596458281929,0.263678626725692,0.0864399231890478,0.31422081444894,0.112561293441962,0.515880335455918,0.10288940133474,0.202758272746874,0.175047701965203,0.230468843528545,0.0141383061118717
"140","total food intake",1,"Indirect Calorimetry","Metabolism",-0.119229260211952,-0.254290165385948,0.0158316449620444,0.0689098913241975,-0.0964841835102986,-0.256491155724892,0.063522788704295,0.0816377104256549,0.026769126394504,-0.0233284849409068,0.0768667377299149,0.0255604754631077
"141","total protein",1,"Clinical Chemistry","Physiology",-0.0422347091809351,-0.0623878329221087,-0.0220815854397616,0.0102823949318145,-0.0355909338237468,-0.0619126777917437,-0.00926918985574993,0.0134297079821973,0.00926597632330692,-0.000815813419770257,0.0193477660663841,0.00514386479680293
"142","total water intake",1,"Indirect Calorimetry","Metabolism",-0.145738284512202,-0.23731645323615,-0.0541601157882546,0.0467244140434747,-0.209744276860092,-0.268194823771988,-0.151293729948197,0.0298222555990549,-0.0654283515187302,-0.137422008815212,0.00656530577775183,0.036732132765887
"143","triglycerides",1,"Clinical Chemistry","Physiology",-0.0320020293087726,-0.123365933182557,0.0593618745650113,0.0466150932335751,0.326895700996264,0.208711101922183,0.445080300070345,0.060299372848841,0.347355230682091,0.259200612616927,0.435509848747254,0.0449776724268995
"144","urea (blood urea nitrogen - bun)",1,"Clinical Chemistry","Physiology",-0.140530582096763,-0.266412025220079,-0.0146491389734464,0.0642264062586116,-0.0950039978324857,-0.250789700506836,0.0607817048418651,0.0794839619009168,0.0403161953949993,0.0051882635744763,0.0754441272155224,0.0179227435287626
"145","uric acid",1,"Clinical Chemistry","Physiology",0.0367062442155763,-0.0660619410831508,0.139474429514303,0.052433711083137,0.362695711875763,0.0914511803465619,0.633940243404963,0.138392610103422,0.447234869749291,-0.0801890551028085,0.974658794601391,0.269098783963559
"146","white blood cell count",1,"Hematology","Hematology",-0.0907957346430684,-0.170306269150479,-0.0112852001356579,0.0405673446729529,0.116844587662113,-0.00239341085582986,0.236082586180055,0.0608368314206163,0.197887565252058,0.136830480314579,0.258944650189536,0.031152146375693
"147","whole arena average speed",1,"Open Field","Behaviour",-0.0156634299666952,-0.0857564482371504,0.0544295883037601,0.0357624011580519,-0.114014918266316,-0.184002910484476,-0.0440269260481554,0.0357088154528433,-0.0997436515862641,-0.151956583848892,-0.0475307193236357,0.0266397406658884
"148","whole arena resting time",1,"Open Field","Behaviour",-0.0531306677583292,-0.101167227029195,-0.00509410848746344,0.0245088989643545,-0.0593671535616422,-0.107606711123583,-0.0111275959997012,0.0246124714241938,0.00458778965248636,-0.0513396204695525,0.0605151997745252,0.0285349172552083
